"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"80","Syngnathus leptorhynchus",0.0662288502845362,0.000155523568679383,0.0659248975740232,0.0660070430733661,0.0661524614896866,0.0663077886524527,0.0664615624935793,0.0665391223242072,"COM8","Syngnathus leptorhynchus"
"81","zRefSpecies_Ammodytes personatus",0.0664930474707842,4.5411445660548e-05,0.066401499781782,0.0664171761724231,0.0664640106061144,0.0665222107289854,0.0665668519347286,0.066585965597281,"COM8","Ammodytes personatus"
"82","Ammodytes personatus",0.0993539893509805,0.000271837916620057,0.0987078611417004,0.0989141205298008,0.0992421197760076,0.0994638246841909,0.0997933318622655,0.0999760063889531,"COM9","Ammodytes personatus"
"83","Blepsias cirrhosus",0.0990286717087863,0.000318840195031523,0.0983390207699332,0.0985806274769481,0.0989178410467024,0.0991517708508659,0.0994638721946076,0.0996895502572026,"COM9","Blepsias cirrhosus"
"84","Gadus",0.100660998757555,0.000315541047243894,0.0999332533550392,0.100159804351352,0.100536261249143,0.100791032456838,0.101150464378606,0.101401341895744,"COM9","Gadus"
"85","Hexagrammos",0.0993538666784465,0.000120821475078567,0.0991114034568322,0.0991593573698824,0.099287999118324,0.0994203666254261,0.0995371749227525,0.0995940415282661,"COM9","Hexagrammos"
"86","Oncorhynchus gorbuscha",0.100968059181059,0.000401709476465759,0.100025249648732,0.100336974792636,0.100833343010652,0.101122921584773,0.101538680191645,0.101780676657234,"COM9","Oncorhynchus gorbuscha"
"87","Ophiodon elongatus",0.10009599083695,0.000257605449721804,0.0995109878888475,0.0996753930289125,0.0999755790317107,0.100218649546796,0.100519032971893,0.100667804097974,"COM9","Ophiodon elongatus"
"88","Pholis laeta",0.100052463363139,0.00017429785309773,0.0996938728514932,0.0997798142483199,0.0999578236346089,0.100147761145527,0.100319744284422,0.100391727926626,"COM9","Pholis laeta"
"89","Sebastes 1",0.100255184971543,0.000228801889813067,0.0998017819332475,0.0999159777923259,0.100152191497791,0.100344895896088,0.100617602200869,0.100790060557412,"COM9","Sebastes 1"
"90","Syngnathus leptorhynchus",0.099893719187351,0.000249718730084444,0.0993682428966702,0.099491222701697,0.0997702104058784,0.10002666763683,0.100268003902691,0.100392716515774,"COM9","Syngnathus leptorhynchus"
"91","zRefSpecies_Cymatogaster aggregata",0.100337055964189,8.60240438072869e-05,0.100166304539273,0.100197829636688,0.100283793582028,0.100388306591781,0.1004807149602,0.10051697265554,"COM9","Cymatogaster aggregata"
"92","Gadus",0.143702754470939,0.000549364145521057,0.142497776463474,0.142810111118116,0.143456765140834,0.143945714794296,0.144581272548897,0.14497934347533,"COM10","Gadus"
"93","Hexagrammos",0.142384472087407,0.000298314558550636,0.141753418860029,0.141961932056592,0.142267204959219,0.142507488737253,0.142811140361692,0.143013199445948,"COM10","Hexagrammos"
"94","Lepidopsetta",0.143756929205281,0.000331060159599436,0.143007910160504,0.143230365408692,0.143615877447132,0.143904005553,0.144251556586693,0.144460958800615,"COM10","Lepidopsetta"
"95","Ophiodon elongatus",0.143562337134751,0.000488033961339617,0.142428522519762,0.14275771601072,0.143364093519362,0.143762622187048,0.144347733377662,0.144697966002217,"COM10","Ophiodon elongatus"
"96","Sebastes 1",0.141565209163361,0.00025205225116285,0.141018823570208,0.141194738551347,0.141455889326253,0.141678277669059,0.141939337633542,0.14206502249792,"COM10","Sebastes 1"
"97","Sebastes 2",0.141912335044222,0.000283117188916246,0.14133484745136,0.141491252982984,0.141788101938829,0.142035781886768,0.142311647481784,0.142484853109934,"COM10","Sebastes 2"
"98","Sebastes 3",0.143115962894038,0.000144446411190169,0.142817842303901,0.14287743370739,0.143032460941209,0.143200633251148,0.143357074199649,0.143412276608467,"COM10","Sebastes 3"
"99","Cymatogaster aggregata",0.125547084379049,0.000146169854833432,0.125261784120311,0.125316969686929,0.125461917671939,0.125631077697701,0.125782135580273,0.125850980392451,"COM11","Cymatogaster aggregata"
"100","Gasterosteus aculeatus",0.125828470644775,0.000286671087464755,0.125111958254305,0.125363184359971,0.12572787575883,0.125960115085747,0.126239361636435,0.126381201049444,"COM11","Gasterosteus aculeatus"
"101","Hexagrammos",0.124823466592469,0.000197190144441576,0.124424241238148,0.124511386249635,0.124716447011792,0.124933166576552,0.125129374781979,0.125219907669615,"COM11","Hexagrammos"
"102","Leptocottus armatus",0.125224247703669,0.000273370675612834,0.124713172123183,0.124822975489876,0.12507832456656,0.125355398877928,0.125628898955571,0.125802048429929,"COM11","Leptocottus armatus"
"103","Lumpenus sagitta",0.124540871538318,0.000218200592833381,0.124117341628575,0.124196365421487,0.124416213142775,0.124661792062376,0.124895984745495,0.124982594003346,"COM11","Lumpenus sagitta"
"104","Oncorhynchus gorbuscha",0.125012598273092,0.000549376941625152,0.123783801148477,0.124179532571928,0.124813817988595,0.125232098299849,0.125797625668274,0.126152272965635,"COM11","Oncorhynchus gorbuscha"
"105","Syngnathus leptorhynchus",0.124577188485731,0.000333497142973673,0.123853406542874,0.124081906500447,0.124432951159481,0.124745299143278,0.125040952416369,0.125198931071282,"COM11","Syngnathus leptorhynchus"
"106","zRefSpecies_Ammodytes personatus",0.124446072382897,0.000129503022247769,0.124180807956999,0.124234563783075,0.124366688355519,0.124524263119478,0.124647752880185,0.124700143367996,"COM11","Ammodytes personatus"
